0;1622582416647319;1622582416726376;1622582416734289;1622582417653858;1622582417873624;1622582417874349;
1;1622582416897725;1622582416897785;1622582417654826;1622582417874575;1622582418109988;1622582418110274;
2;1622582417147474;1622582417654922;1622582417691050;1622582418110762;1622582418314264;1622582418314689;
3;1622582417397672;1622582417691198;1622582417695097;1622582418315568;1622582418525236;1622582418525440;
4;1622582417647684;1622582417695239;1622582417741091;1622582418526002;1622582418727120;1622582418727335;
5;1622582417897770;1622582417897787;1622582417970652;1622582418727881;1622582418941055;1622582418941252;
6;1622582418147556;1622582418147602;1622582418231317;1622582418941817;1622582419169151;1622582419169475;
7;1622582418397774;1622582418397813;1622582418404401;1622582419170043;1622582419369983;1622582419370373;
8;1622582418647873;1622582418647908;1622582418654103;1622582419370820;1622582419573677;1622582419573877;
9;1622582418897826;1622582418897856;1622582418904887;1622582419574381;1622582419798415;1622582419798769;
10;1622582419147720;1622582419147779;1622582419153789;1622582419800758;1622582420034747;1622582420035083;
11;1622582419397799;1622582419397883;1622582419404396;1622582420035764;1622582420242646;1622582420243055;
12;1622582419647604;1622582419647622;1622582419655309;1622582420243431;1622582420453241;1622582420453586;
13;1622582419897872;1622582419897888;1622582419904182;1622582420454041;1622582420652749;1622582420652981;
14;1622582420147529;1622582420147536;1622582420153924;1622582420653830;1622582420862732;1622582420863054;
15;1622582420397819;1622582420397905;1622582420404479;1622582420863547;1622582421103647;1622582421104090;
16;1622582420647784;1622582420647869;1622582420653275;1622582421104431;1622582421300873;1622582421301077;
17;1622582420897952;1622582420897983;1622582420905091;1622582421301559;1622582421502599;1622582421502922;
18;1622582421147694;1622582421147712;1622582421152339;1622582421503433;1622582421707231;1622582421707549;
19;1622582421397834;1622582421397856;1622582421402622;1622582421707928;1622582421921102;1622582421922394;
20;1622582421647739;1622582421647859;1622582421652748;1622582421921777;1622582422140287;1622582422140565;
21;1622582421897894;1622582421897946;1622582421903430;1622582422140973;1622582422351783;1622582422352014;
22;1622582422147613;1622582422147636;1622582422154348;1622582422352452;1622582422549360;1622582422549568;
23;1622582422397928;1622582422398040;1622582422403007;1622582422550068;1622582422750566;1622582422750768;
24;1622582422647593;1622582422647636;1622582422652435;1622582422751158;1622582422958798;1622582422959035;
25;1622582422897597;1622582422897624;1622582422902154;1622582422959428;1622582423175299;1622582423175497;
26;1622582423147595;1622582423147614;1622582423152486;1622582423175971;1622582423527632;1622582423527993;
27;1622582423397754;1622582423397789;1622582423403649;1622582423528558;1622582423816400;1622582423816880;
28;1622582423647933;1622582423647944;1622582423655310;1622582423817281;1622582424052298;1622582424052721;
